permit_number,s_name,s_address,city,z_code,p_fee,c_number,contractor,permit_specifications,square_feet,is_the_building_occupied,i_date,e_date,achd_inspector,job_complete,is_permit_date_extended,permit_o_e_date,project_type,latitude,longitude
DEM190151,VACANT RESIDENCE,2432 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,2400,f,5/23/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.4173248,-79.8798499
DEM190154,VACANT RESIDENCE,2329 S BRADDOCK AVE,SWISSVALE,15218,0,0,921,REMOVE 1ST FLOOR KITCHEN VINYL FLOORING & EXTERIOR WINDOW AND DOOR CAULKING,150,f,6/6/19,6/5/20,3,f,f,6/5/20,DEMOLITION,40.418871,-79.881143
DEM190155,VACANT RESIDENCE,2200  LEHIGH ST,SWISSVALE,15218,0,0,921,REMOVE WINDOW AND DOOR CAULKING,100,f,6/6/19,6/5/20,3,f,f,6/5/20,DEMOLITION,40.4278933,-79.8787591
DEM190175,VACANT RESIDENCE,618  RIVERVIEW DR,DRAVOSBURG,15034,0,0,957,REMOVE BASEMENT PAPER ON DUCT WORK BEHIND WALLS,80,f,6/7/19,10/15/19,3,f,f,10/15/19,DEMOLITION,40.3550201,-79.8908657
DEM190176,VACANT RESIDENCE,630  RIVERVIEW DR,DRAVOSBURG,15034,0,0,957,REMOVE BASEMENT PAPER DUCT WORK BEHIND WALLS,80,f,6/7/19,10/15/19,2,f,f,10/15/19,RENOVATION,40.3558799,-79.8901003
DEM190177,VACANT RESIDENCE,608  RIVERVIEW DR,DRAVOSBURG,15034,0,0,957,REMOVE BASEMENT PAPER DUCTWORK BEHIND WALLS,80,f,6/7/19,10/31/19,2,f,f,10/31/19,RENOVATION,40.3546801,-79.8919192
DEM190213,SINGLE CAR GARAGE,343  RAYMOND ST,PITTSBURGH,15218,0,0,929,REMOVE BUILD VCT BLACK MASTIC ON ROOF,200,f,7/1/19,10/31/19,2,f,f,10/31/19,DEMOLITION,40.4247489,-79.8983273
DEM190215,VACANT RESIDENCE,204 CHAMBERS ST,CLAIRTON,15025,0,0,915,REMOVE FLOOR TILE IN KITCHEN AND ON STAIRS,135,f,7/8/19,10/31/19,3,f,f,10/31/19,DEMOLITION,40.2981,-79.877958
DEM190216,VACANT RESIDENCE,350  ARCH ST,CLAIRTON,15025,0,0,915,REMOVE FRONT/BACK DOOR CAULKING,80,f,7/8/19,10/31/19,3,f,f,10/31/19,DEMOLITION,40.2949935,-79.8753367
DEM190217,VACANT RESIDENCE,212 CHAMBERS ST,CLAIRTON,15025,0,0,915,REMOVE CALUKING FROM FRONT/BACK DOORS,90,f,7/8/19,10/31/19,3,f,f,10/31/19,DEMOLITION,40.2978042,-79.8776553
DEM190218,VACANT RESIDENCE,206 CHAMBERS ST,CLAIRTON,15025,0,0,915,REMOVE CAULKING FROM FRONT DOOR,65,f,7/8/19,10/31/19,3,f,f,10/31/19,DEMOLITION,40.2980027,-79.8779078
DME190145,VACANT RESIDENCE,2435 S BRADDOCK AVE,SWISSVALE,15218,0,0,0,DEMOLISH STRUCTURE AND GRADE LOT,1560,f,5/13/19,12/31/19,3,f,f,12/31/19,DEMOLITION,40.417821,-79.879423
PAA170086,,852 N LINCOLN AVE,PITTSBURGH,15233,450,26176,429,WALL PLASTER AND FLOOR TILE/MASTIC ON 3RD FLOOR LIVING AREA,320,f,2/9/17,9/9/19,2,t,f,9/9/17,RENOVATION,40.451287,-80.015968
PAA180272,WOODLAND HILLS DICKSON FIELD HOUSE/FALLOUT SHELTER,7301 SCHOYER AVE,SWISSVALE,15218,850,13125,321,REMOVE PLASTER & WINDOW GLAZING FROM FIELD HOUSE/FALLOUT SHELTER AND OUTSIDE DOOR CAULKING.,2300,f,4/24/18,8/24/08,2,t,f,8/24/08,DEMOLITION,40.4234595,-79.8935994
PAA180401,O'HARA ELEMENTARY SCHOOL,115 CABIN LN,PITTSBURGH,15238,450,47130,308,REMOVE FLOOR TILE/MASTIC FROM CLASSROOM 201/203/KILN RM/STORAGE RM AND SINK BASIN UNDERCOAT IN CLASSROOM 201/203,550,f,7/9/18,8/30/19,2,t,f,8/30/19,RENOVATION,40.515515,-79.863777
PAA180443,US STEEL CLAIRTON - TELEPHONE EXCHANGE BLDG,400 STATE ST,CLAIRTON,15025,450,30629,313,REMOVE TRNSITE FROM ROOF,9000,f,7/24/18,7/24/19,2,t,f,7/24/19,RENOVATION,40.2940921,-79.8728393
PAA180444,US STEEL CLAIRTON FIRE PUMP STATION ROOF,400 STATE ST,CLAIRTON,15025,850,30603,313,REMOVE BUILD UP ROOF MATERIALS,1000,f,7/24/18,7/24/19,2,t,f,7/24/19,RENOVATION,40.2940921,-79.8728393
PAA180460,CHURCHILL CORPORATE CAMPUS (BLDG 401),1310  BEULAH RD,PITTSBURGH,15235,850,6109,430,VARIOUS ASBESTOS CONTAINING ITEMS IN VARIOUS LOCATIONS THROUGHOUT BUILDING 401 (SEE ATTACHED FOR DETAILS),226614,f,7/19/18,7/19/19,2,f,f,7/19/18,RENOVATION,40.440869,-79.849819
PAA180461,CHURCHILL CORPORATE CAMPUS (BUILDING 501),1310  BEULAH RD,PITTSBURGH,15235,850,6109,430,VARIOUS ASBESTOS CONTAINING ITEMS IN VARIOUS LOCATIONS THROUGHOUT BUILDING 501 (SEE ATTACHED FOR DETAILS),185595,f,7/19/18,7/19/19,2,t,f,7/19/19,RENOVATION,40.440869,-79.849819
PAA180479,SAINT JOSEPH SCHOOL - CORAOPOLIS,1313 5TH AVE,CORAOPOLIS,15108,850,19737,360,REMOVE FLOOR TILE FROM THE CAFETERIA,6100,f,8/13/18,8/13/19,2,t,f,8/13/19,RENOVATION,40.5156438,-80.1588378
PAA180508,UOP - SCAIFE HALL - 200 LOTHROP STREET,,PITTSBURGH,15232,450,4378,326,REMOVE FLOOR TILE AND MASTIC FROM 3RD FLOOR ROOMS S324A & S322,680,t,8/28/18,8/27/19,2,f,f,8/27/19,RENOVATION,40.451096,-79.9332613
PAA180521,SCHENLEY PARK GOLF CLUBHOUSE,5370 SCHENLEY DR,PITTSBURGH,15217,850,19860,360,"REMOVE CEILING PLASTER FROM ROOMS S2 & B4, CHIMNEY GLAZE, CHIMNEY COATING & CAULKING FROM ROOF; COVE BASE MASTIC FROM ROOM B20; PIPE INSULATION AND GASKETS FROM BASEMENT, AND CEILING AND WALL PLASTER FROM ROOM B3",8750,f,9/4/18,9/4/19,2,t,f,9/4/19,DEMOLITION,40.4380295,-79.9343981
PAA180526,AHN-AGH EMERGENCY ROOM EXPANSION,320 E NORTH AVE,PITTSBURGH,15212,850,407234,357,REMOVE FLOOR TILE & BLACK MASTIC FROM 2ND FLOOR SNYDER PAVILION ED,6000,t,9/7/18,7/31/19,2,t,t,12/30/18,DEMOLITION,40.4574469,-80.0032706
PAA180535,"US STEEL CLAIRTON 22"" MILL",400 STATE ST,CLAIRTON,15025,850,30680,313,REMOVE GALBESTOS FROM ROOF,10000,t,9/13/18,9/13/19,2,f,f,9/13/19,RENOVATION,40.2940921,-79.8728393
PAA180538,UPMC SHADYSIDE HOSPITAL - 325 S AIKEN AVE,,PITTSBURGH,15232,450,4819,364,REMOVE FLOOR TILE & MASTIC FROM THE DIETARY OFFICES,910,t,9/13/18,9/12/19,2,t,t,12/30/18,RENOVATION,40.451096,-79.9332613
PAA180543,US STEEL CLAIRTON 28/40 MILL,400 STATE ST,CLAIRTON,15025,850,30681,313,REMOVE GALBESTOS ROOF,8000,t,9/19/18,9/19/19,2,f,f,9/19/19,RENOVATION,40.2940921,-79.8728393
PAA180545,CMU GSIA BUILDING - TECH & FREW STREETS,,PITTSBURGH,15213,850,1212,301,"REMOVE REDFLOOR SHEETING ON BASEMENT LEVEL; FLOOR TILE & MASTIC IN BASEMENT & ON 2ND & 3RD FLOORS; GLUE DOTS ON DUCTWORK ON 2ND FLOOR; & PIPE INSULATION & FITTINGS ON THE 1ST, 2ND, 3RD & 4TH FLOORS AND IN THE PENTHOUSE",33980,t,9/17/18,9/17/19,2,t,f,9/17/19,DEMOLITION,40.4379259,-79.9556424
PAA180560,UOP CATHEDRAL OF LEARNING - 4200 5TH AVENUE,,PITTSBURGH,15260,850,4390,316,REMOVE MENS/WOMENS RESTROOM PIPING & THE PLASTER IN ROOM 817,5550,t,9/25/18,9/25/19,2,t,f,9/25/19,RENOVATION,40.4424402,-79.9531948
PAA180561,TOWNHOMES PROJECT - 5127-5137 5TH AVENUE,,PITTSBURGH,15232,850,4389,316,REMOVE DRYWALL JOINT COMPUND ON LEVEL 2A & 3A; BOILER INSULATION IN BASEMENT; FRONT EXTERIOR SIDING; & SHED ROOFING,2060,f,9/28/18,9/25/19,2,t,f,9/25/19,DEMOLITION,40.451096,-79.9332613
PAA180566,CITY THEATRE - WALTER LANG BLDG - 1315 BINGHAM ST,,PITTSBURGH,15203,1050,407255 & 407410,929,"REMOVE ROOF ADHESIVE ON PARAPET WALL; 9"" FLOOR TILE IN OFFICE AREA ROOM H; 12"" FLOOR TILE & MASTIC IN HALLWAY AREA F & OFFICE AREA ROOM G; NORT GARAGE WALL GALBESTOS SIDING; & ROOF MATERIALS",10290,t,10/2/18,10/1/19,2,t,t,12/31/18,RENOVATION,40.4293034,-79.9724245
PAA180573,FIRE STATION #7,4603 STANTON AVE,PITTSBURGH,15201,200,5217,908,REMOVE STAIR TOWER ROOFING,288,t,10/1/18,9/30/19,2,f,t,10/31/18,RENOVATION,40.481424,-79.937327
PAA180588,COMMERCIAL BUILDING RENOVATION,5916  PENN AVE,PITTSBURGH,15206,850,20099,360,"REMOVE MASTIC/DUST FROM ONE STAIRWELL, 2ND FLOOR WIRE CLOSET, & PARTIAL FIRST FLOOR",3006,f,10/4/18,9/28/19,2,t,f,9/28/19,RENOVATION,40.46154,-79.9261349
PAA180589,CMU MELLON INSTITUTE,5000 FORBES AVE,PITTSBURGH,15213,450,1248 & 1250,301,REMOVE PIPE INSULATION AND FITTINGS ON 1ST FLOOR,1150,t,10/11/18,10/11/19,2,t,f,10/11/19,RENOVATION,40.4441647,-79.9433725
PAA180590,CHURCHILL CORPORATE CAMPUS (501),1310  BEULAH RD,PITTSBURGH,15235,200,6391,430,"REMOVE TSI PIPE FITTINGS & LAB TABLE TOPS THROUGHOUT 1ST, 2ND & 3RD FLOORS",21545,f,10/5/18,7/19/19,2,t,f,7/19/19,RENOVATION,40.440869,-79.849819
PAA180591,WEST PENN HOSPITAL,4800 FRIENDSHIP AVE,PITTSBURGH,15224,850,1249,301,REMOVE FLOOR TILE & MASTIC FROM 3RD FLOOR ONCOLOGY AND 3RD FLOOR DUCT,3100,t,10/17/18,10/17/19,2,t,f,10/17/19,RENOVATION,40.4614529,-79.9463637
PAA180594,VACANT BUSINESS RENOVATION,1798 N HIGHLAND RD,UPPER ST CLAIR,15241,850,2104,360,REMOVE 2ND FLOOR BATHROOM FLOOR TILE,5200,f,10/15/18,10/15/19,2,t,f,10/15/19,RENOVATION,40.3522964,-80.0521458
PAA180595,131 BIGHAM STREET,,PITTSBURGH,15211,850,20364,412,"REMOVE FL TILE, STAIRTREADS & MASTIC FROM 2ND FL CLASSROOMS, 1ST FL ENTRANCE, CHAPEL & STAGE, BASEMENT STAIRS, KITCHEN, STORAGE & HALLWAY; PIPE FITTINGS & TANK INSULATION FROM 1ST FL STAGE, BASEMENT & BOILER RM; & WINDOW WITH GLAZING IN BASEMENT-CAFETERIA",6390,t,10/17/18,10/16/19,2,f,t,12/30/18,RENOVATION,40.4331995,-80.0171609
PAA180600,MERCY HOSPITAL 1ST FLOOR CENTRAL STERILE,1400 LOCUST ST,PITTSBURGH,15219,850,4892,940,"REMOVE FLOOR TILE & MASTIC ON THE 1ST FLOOR CENTRAL STERILE PROCESSING, PREPARATION, STORAGE & TRANSPORTATION CENTAL DISTRIBUTION",7700,t,10/22/18,10/21/19,2,t,t,12/30/18,RENOVATION,40.4362085,-79.9856207
PAA180604,UPMC - MERCY HOSPITAL,1400 LOCUST ST,PITTSBURGH,15219,850,4381,326,REMOVE ROOF BUILD UP ON 4TH FLOOR AND ACM CAULKING FROM PENTHOUSE OF EMIRE BUILDING; ROOF BUILD UP FROM 5KV IN VOLT BUILDING; ASPHALT FLASHING ON PARKING GARAGE EXIT ROOF; & RESIDUAL CAULKING FRON ST. ANNE'S WALL IN BOILER BUILDING,4395,t,10/24/18,10/23/19,2,f,f,10/23/19,RENOVATION,40.4362085,-79.9856207
PAA180606,COMMERCIAL CHURCH,384 FOX CHAPEL RD,FOX CHAPEL,15238,850,7458,340,REMOVE FLOOR TILE & MASTIC FROM PRESCHOOL AREA,5000,f,10/22/18,10/17/19,2,t,f,10/17/19,RENOVATION,40.5141636,-79.8781146
PAA180609,THE HIGHLINE - 333 EAST CARSON STREET,,PITTSBURGH,15219,850,11462,927,"SEE ATTACHED TABLE 1 - BAYS 35, 27 & 39 ON 3RD FL WEST REMOVE APPROXIMATELY 60 LINEAL FT OF PIPE INSULATION FROM 5 RISERS",1000000,t,10/19/18,10/19/19,2,f,f,10/19/19,RENOVATION,40.440368,-79.9836108
PAA180617,FORBES HOSTPITAL - CENTRAL STERILE,2570 HAYMAKER RD,MONROEVILLE,15146,850,407274,357,REMOVE VCT & BLACK MASTIC FROM UNDER CARPET AND MISCELLANEOUS FLOORING,5000,t,11/1/18,10/31/19,2,t,f,10/31/19,RENOVATION,40.4289288,-79.7481081
PAA180618,ONE PNC PLAZW MEZZ-7-8-9TH FLOORS,225  5TH AVE,PITTSBURGH,15222,850,4970,364,"REMOVE FIREPROOFING FROM 7TH, 8TH, 9TH & MEZZANINE FLOORS",49120,t,10/29/18,10/28/19,2,f,f,10/28/19,DEMOLITION,40.4413691,-80.0013643
PAA180619,UOP SRCC BUILDING - 5TH FLOOR - 4107 O'HARA STREET,,PITTSBURGH,15260,450,4411,316,REMOVE FLOOR TILE AND MASTIC FROM ROOMS 502 & 520,790,t,10/31/18,10/31/19,2,f,f,10/31/19,RENOVATION,40.4424402,-79.9531948
PAA180623,PITTSBURGH SENIOR CARE,1215  HULTON RD,OAKMONT,15139,850,20231,360,REMOVE FLOOR TILE AND MASTIC ON GROUND FLOOR,1200,f,10/22/18,10/22/19,2,f,f,10/22/19,RENOVATION,40.5251256,-79.8286009
PAA180624,UPMC MAGEE WOMENS HOSPITAL - 2600 WING,300 HALKET ST,PITTSBURGH,15213,850,4382,928,REMOVE FLOOR TILE & MASTIC 2ND FLOOR PATIENT ROOMS,12400,t,11/5/18,11/4/19,2,f,f,11/4/19,RENOVATION,40.4368286,-79.960688
PAA180632,VACANT RESIDENCE,2006  WEST ST,PITTSBURGH,15120,850,20267,360,REMOVE PLASTER ON FIRST FLOOR CEILING AND WALLS AND IN THE ATTIC; DUCT WORK IN THE BASEMENT AND EXTERIOR WINDOW CAULKING,4638,f,11/5/18,10/22/19,2,t,f,10/22/19,DEMOLITION,40.3982425,-79.9038118
PAA180633,VACANT RESIDENCE,2008  WEST ST,PITTSBURGH,15120,850,20267,360,REMOVE PLASTER FROM 2ND FLOOR CEILING AND WALLS; FLOOR SHEETING ON 2ND FLOO; & EXTERIOR WINDOW CAULKING,2380,f,11/5/18,10/22/19,2,t,f,10/22/19,DEMOLITION,40.398156,-79.9037243
PAA180650,KOPPERS PLANT CLAIRTON PA - AREA 13,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR TANK IN MAP AREA 13 TANKS 32, 31 & 33",15700,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180651,KOPPERS PLANT CLAIRTON PA - AREA 19,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR ROOFING IN MAPE ARE 19 TRANSFER PUMP HOUSE & PIPE INSULATION IN MAP AREA 19 ON TOP OF BUILDING,1625,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180652,KOPPERS PLANT CLAIRTON PA - AREA 12,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR ROOFING MATERIAL FROM MAP AREA 12 PIPE SHOP,3250,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180653,KOPPERS PLANT CLAIRTON PA - AREA 9,300 N STATE ST,CLAIRTON,15025,450,20688,412,REMOVE EXTERIOR ROOFING MATERIAL FROM MAP ARE 9 SEWAGE STATION,250,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180654,KOPPERS PLANT CLAIRTON PA AREA 4,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR GALBESTOS, TRANSITE & PIPE IN MAP AREA 4",4635,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180655,KOPPERS PLANT CLAIRTON PA AREA 29,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE PIPE FROM MAP AREA 29 GENERAL OFFICE BUILDING, EXTERIOR TRANSITE PIPE, FIRE PROOFING, GALBESTOS, EXTERIOR ROOFING MATERIAL & EXTERIOR WINDOW CAULKING FROM MAPE AREA 29",3772,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180656,KOPPERS PLANT CLAIRTON PA EXTERNAL PIPE RACKS,300 N STATE ST,CLAIRTON,15025,850,20688,412,"REMOVE EXTERIOR PIPE RACKS IN MAP AREAS 2, 7, 19,15, 30",6600,f,11/20/18,11/20/19,2,t,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180657,KOPPERS PLANT CLAIRTON PA - AREA 30,300 N STATE ST,CLAIRTON,15025,850,20688,412,REMOVE EXTERIOR GALBESTOS ROOFING AND ROOFING FROM MAP AREA 30 CONTAIINMENT BUILDING,23450,f,11/20/18,11/20/19,2,f,f,11/20/19,DEMOLITION,40.3080967,-79.884895
PAA180659,PITTSBURGH ATHLETIC ASSOC,4215  5TH AVE,PITTSBURGH,15213,200,1294,901,"REMOVE PIPE INSULATION IN SUB-BASEMENT, BASEMENT AND FLOORS 1-7",112,f,11/14/18,8/2/19,2,f,t,7/2/19,RENOVATION,40.4449853,-79.9545955
PAA180661,BETTIS ATOMIC POWER LAB - AT BLDG AISLE ROOF,814 PITTSBURGH MCKEESPORT BLVD,WEST MIFFLIN,15122,850,2021691,364,"REMOVE BUILT UP ROOFING (SEE ATTACHED) ON AT BUILDING-CD-AISLE ROOF, CENTER SECTION",5550,t,11/21/18,11/13/19,2,f,f,11/13/19,RENOVATION,40.3560891,-79.8997901
PAA180664,FIREHOUSE #24,1729 MARY ST,PITTSBURGH,15203,200,20366,360,REMOVE FLOOR TILE AND MASTIC FROM STORAGE ROOM/OFFICE,174,t,11/22/18,11/22/19,2,t,f,11/22/19,RENOVATION,40.4263687,-79.9812513
PAA180667,UOP CAHTEDRAL OF LEARNING 4200 5TH AVE,,PITTSBURGH,15260,200,4426,316,REMOVE GLUE DOTS FROM MEN'S & WOMEN'S RESTROOMS ON THE 8TH FLOOR,680,t,11/20/18,9/14/19,2,f,f,9/14/19,RENOVATION,40.4424402,-79.9531948
PAA180669,UOP OLD ENGINEERING HALL,3941  OHARA ST,PITTSBURGH,15213,450,4425,316,"REMOVE VAT/ASTIC, TRANSITE & PIPE INSULATION FROM ROOM 513",651,t,11/27/18,11/27/19,2,t,f,11/27/19,RENOVATION,40.4450083,-79.9579922
PAA180670,ASCENSION LUTHERAN CHURCH,1290  SILVER LN,MCKEES ROCKS,15136,850,18753,310,REMOVE FLOOR TILE AND MASTIC FROM COMMUNITY ROOM,1032,t,12/3/18,12/31/18,2,t,f,12/31/18,RENOVATION,40.47511,-80.1316319
PAA180671,AHN - FORBES HOSPITAL - 3RD FLOOR NORTH,2510  HAYMAKER RD,MONROEVILLE,15146,450,407295,357,REMOVE 2 LAYERS OF FLOORING MATERIALS INCLUDING 1X1 FLOOR TILE OVER SHEET FLOORING WITH PAPER BACKING IN BLACK MASTIC ON CONCRETE FLOOR,900,t,11/26/18,10/31/19,2,f,t,12/30/18,RENOVATION,40.4234816,-79.7498238
PAA180672,AHN - FORBES HOSPITAL - 2ND FLOOR GI LAB 2.7 & 288,2510  HAYMAKER RD,MONROEVILLE,15146,850,407294,357,REMOVE ACM BLACK MASTIC,6000,t,11/26/18,10/31/19,2,f,t,1/31/19,RENOVATION,40.4234816,-79.7498238
PAA180678,VACANT RESIDENCE,923  GRAND AVE,PITTSBURGH,15212,200,7733,340,REMOVE 3 LAYER FLOOR TILE/SHEET FLOORING FROM KITCHEM AND ALL WINDOW CAULKING,260,f,12/6/18,12/5/19,2,t,f,12/5/19,DEMOLITION,40.475205,-80.024377
PAA180679,VACANT RESIDENCE,2950  WEBSTER AVE,PITTSBURGH,15219,450,7750,340,SEE ATTACHED FOR THE LIST OF MATERIALS TO BE REMOVED,322,f,12/6/18,12/5/19,2,t,f,12/5/19,DEMOLITION,40.4524307,-79.9655088
PAA180680,VACANT RESIDENCE,7319  SUSQUEHANNA ST,PITTSBURGH,15208,850,7736,340,DEMOLISH STRUCTURE AND GRADE LOT - ALL MATERIAL BEING TREATED AS ACM,1920,f,12/6/18,12/5/19,2,t,f,12/5/19,DEMOLITION,40.4528063,-79.8956052
PAA180685,WEST PENN HOSPITAL - MELLON PAVILLION,4801  FRIENDSHIP AVE,PITTSBURGH,15224,850,4428,316,REMOVE VAT/MASTIC FROM SUITE M54,5000,t,12/3/18,12/3/19,2,t,f,12/3/19,RENOVATION,40.4630069,-79.9465836
PAA180686,APARTMENT #2,147 N CRAIG ST,PITTSBURGH,15213,450,4384,326,REMOVE FLOOR TILE & ENCAPSULATE MASTIC,1250,t,12/12/18,12/11/19,2,t,f,12/11/19,RENOVATION,40.4487079,-79.9505285
PAA180692,FORMER BALLY'S FITNESS CENTER,119  6TH ST,PITTSBURGH,15222,850,20477,931,REMOVE PIPE INSULATION THROUGHOUT BUILDING & MIRROR GLUE DOTS FROM BASEMENT,3019,f,1/7/19,12/17/19,2,t,f,12/17/19,RENOVATION,40.4435689,-80.001844
PAA180697,VACANT APARTMENT BUILDING,708  CHARTIERS AVE,MCKEES ROCKS,15136,850,1422,466,REMOVE ROOFING MATERIAL AND ALL EXTERIOR WINDOW CAULKING,10500,f,12/6/18,11/29/19,2,t,f,11/29/19,DEMOLITION,40.4657904,-80.0617434
PAA180702,VACANT COMMERCIAL STRUCTURE,810  MONONGAHELA AVE,GLASSPORT,15045,850,77408,921,REMOVE MASTIC THROUGHOUT BUILDING & VAT/MASTIC FROM DEBRIS PILE OUTSIDE OF BUILDING,16000,f,1/7/19,12/19/19,8,t,f,12/19/19,RENOVATION,40.3222667,-79.8927028
PAA180703,ARROTT BUILDING,411  WOOD ST,PITTSBURGH,15222,850,20907,412,"REMOVE WAL MASTIC FROM 9TH FL, PIPE INSULATION IN VERTICLE CHASE THROUGHOUT BLDG, FLOOR TILS/SHEET FLOORTING THORUGHUHOUT BLDG ALL FLOORS, FLOOR MASTIC THROUGHOUT BLDG, TANK INSULATION AND TRANSITE IN SUB-BASEMENT, & SINK MASTIC ON 2ND FL",74078,f,12/20/18,12/1/09,2,f,f,12/1/19,RENOVATION,40.4398222,-80.0012066
PAA180705,DITHRIDGE TOWERS,144 N DITHRIDGE ST,PITTSBURGH,15213,850,18823,902,REMOVE ROOFING,1547,t,12/21/18,12/9/19,2,t,f,3/10/19,RENOVATION,40.4482339,-79.950786
PAA180715,CHARTIERS VALLEY MIDDLE SCHOOL,50 THOMS RUN RD,BRIDGEVILLE,15017,850,2015,360,"REMOVE FLOOR TILE & MASTIC & TRANSITE PANELS THROUGHOUT MIDDLE SCHOOL, ROOF FLASHING TAR, ROOF FELT AND INTERIOR WINDOW GLAZE",19900,t,12/26/18,12/25/19,8,t,f,12/25/19,DEMOLITION,40.3792417,-80.1030421
PAA180716,COMMERCIAL BUILDING,18 WESTERN AVE,PITTSBURGH,15202,200,USPSMO21974562797,335,"REMOVE 12X12 VAT & MASTIC FROM 1ST FLOOR HALLWAY & 9"" VAT FROM 3RD FLOOR SIDE ROOM",225,f,12/24/18,12/24/19,2,t,f,12/24/19,DEMOLITION,40.5061385,-80.0877355
PAA180721,ANTONIAN HALL - CARLOW UNIVERSITY,3333  5TH AVE,PITTSBURGH,15213,850,4439,316,"REMOVE VAT/MASTIC FROM ROOMS 410, 511, 513",2190,f,12/27/18,12/27/19,2,t,f,12/27/19,RENOVATION,40.4389338,-79.9631161
